SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
RDAFTFVCD,Reliance MF - Reliance Dual Adv FTF V - Pl C - DPO,MF,21-MAR-2014,10,1,INF204KA1IW3,10
RDAFTFVCG,Reliance MF - Reliance Dual Adv FTF V - Pl C - GO,MF,21-MAR-2014,10,1,INF204KA1IV5,10
RDAFTIIPGD,Reliance Mutual Fund - Reliance DAFTF II - P - G - DP,MF,07-JUN-2012,10,1,INF204K01SC6,10
RDAFTIIPGG,Reliance Mutual Fund - Reliance DAFTF II - P - G - Growth,MF,07-JUN-2012,10,1,INF204K01SB8,10
RDAFTIVCDD,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DD,MF,11-OCT-2013,10,1,INF204KA1750,10
RDAFTIVCDG,Reliance Mutual Fund - Reliance DA-FTF IV-P-C-DG,MF,11-OCT-2013,10,1,INF204KA1743,10
RDAFTVCDG,Reliance MF - Reliance Dual Adv FTF V - Pl C - DP-GO ,MF,21-MAR-2014,10,1,INF204KA1IX1,10
RDAFTVHDR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - DPO,MF,14-JUN-2017,10,1,INF204KB1OX8,10
RDAFTVHGR,Reliance Mutual Fund - Reliance Dual Advantage FTF V- Plan H - GO,MF,14-JUN-2017,10,1,INF204KB1OW0,10
RDAFVGDD,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,MF,05-MAY-2017,10,1,INF204KB1LH7,10
RDAFVGDG,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,MF,05-MAY-2017,10,1,INF204KB1LG9,10
RDAFVGDO,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,MF,05-MAY-2017,10,1,INF204KB1LF1,10
RDAFVGGO,Reliance Mutual Fund - Reliance Dual Advantage Fixed Tenure Fund V- Pl,MF,05-MAY-2017,10,1,INF204KB1LE4,10
RDAFVIIICD,Reliance MF - Reliance Dual Adv FTF Sr VIII Pl C - DPO,MF,23-OCT-2015,10,1,INF204KA13O4,10
RDAFVIIICX,Reliance MF - Reliance Dual Adv FTF Sr VIII Pl C - DP-DPO,MF,23-OCT-2015,10,1,INF204KA11O8,10
RDAIIIADG,Reliance MF - Reliance Dual Adv FTF Sr III Pl A - DP-GO,MF,19-JAN-2016,10,1,INF204KA19U8,10
RDAIIIARD,Reliance MF - Reliance Dual Adv FTF Sr III Pl A - DPO,MF,19-JAN-2016,10,1,INF204KA18U0,10
RDAIIIARG,Reliance MF - Reliance Dual Adv FTF Sr III Pl A - GO,MF,19-JAN-2016,10,1,INF204KA17U2,10
